126	;47.2679	;75.397	;0.990665	;4.32982	;2.55257e+19
127	;47.1622	;75.4256	;0.990669	;4.33133	;2.54671e+19
128	;47.0629	;75.4273	;0.990668	;4.32383	;2.54096e+19
129	;47.0629	;75.4273	;0.990668	;4.32383	;2.54096e+19
130	;47.0629	;75.4273	;0.990668	;4.32383	;2.54096e+19
131	;47.0703	;75.1466	;0.990658	;4.32598	;2.53238e+19
132	;47.0703	;75.1466	;0.990658	;4.32598	;2.53238e+19
133	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
134	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
135	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
136	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
137	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
138	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
139	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
140	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
141	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
142	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
143	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
144	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
145	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
146	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
147	;47.0551	;75.0721	;0.99065	;4.32709	;2.52896e+19
148	;47.0551	;75.0721	;0.99065	;4.32709	;2.52896e+19
149	;47.0551	;75.0721	;0.99065	;4.32709	;2.52896e+19
150	;47.0551	;75.0721	;0.99065	;4.32709	;2.52896e+19

1	;47.1293	;79.3426	;1.09389	;1.00496	;3.5232e+19
2	;48.9981	;82.4072	;1.00722	;1.57636	;3.18733e+19
3	;48.9953	;75.8423	;1.01563	;2.85343	;2.91571e+19
4	;49.4828	;75.7063	;0.99681	;2.59911	;2.85384e+19
5	;49.3811	;75.8349	;0.990354	;2.54704	;2.81797e+19
6	;49.2955	;75.952	;0.990762	;2.56625	;2.81721e+19
7	;47.8048	;76.4399	;0.998352	;3.13993	;2.73891e+19
8	;47.0428	;75.9527	;0.990748	;2.56626	;2.66931e+19
9	;47.0428	;75.9527	;0.990748	;2.56626	;2.66931e+19
10	;47.0428	;75.9527	;0.990748	;2.56626	;2.66931e+19
11	;47.0428	;75.9527	;0.990748	;2.56626	;2.66931e+19
12	;47.0428	;75.9527	;0.990748	;2.56626	;2.66931e+19
13	;47.0448	;75.94	;0.99062	;2.55926	;2.66879e+19
14	;47.043	;75.9403	;0.990638	;2.5634	;2.66851e+19
15	;47.043	;75.9403	;0.990638	;2.5634	;2.66851e+19
16	;47.043	;75.9403	;0.990638	;2.5634	;2.66851e+19
17	;47.043	;75.9403	;0.990638	;2.5634	;2.66851e+19
18	;47.5836	;75.9396	;0.990623	;4.67687	;2.56757e+19
19	;47.5836	;75.9396	;0.990623	;4.67687	;2.56757e+19
20	;47.6388	;75.9394	;0.990613	;4.88458	;2.55783e+19
21	;47.6387	;75.9395	;0.990619	;4.91045	;2.55622e+19
22	;47.571	;75.9395	;0.990619	;4.89112	;2.55316e+19
23	;47.0023	;75.9396	;0.990623	;4.89169	;2.51727e+19
