90	;0.785713	;0.416692	;263.902
91	;0.785713	;0.416692	;263.902
92	;0.785713	;0.416692	;263.902
93	;0.785713	;0.416692	;263.902
94	;0.785713	;0.416692	;263.902
95	;0.785713	;0.416692	;263.902
96	;0.785713	;0.416692	;263.902
97	;0.785713	;0.416692	;263.902
98	;0.785713	;0.416692	;263.902
99	;0.785713	;0.416692	;263.902
100	;0.785713	;0.416692	;263.902
101	;0.785713	;0.416692	;263.902
102	;0.785713	;0.416692	;263.902
103	;0.785713	;0.416692	;263.902
104	;0.785713	;0.416692	;263.902
105	;0.785713	;0.416692	;263.902
106	;0.785713	;0.416692	;263.902
107	;0.785713	;0.416692	;263.902
108	;0.785713	;0.416692	;263.902
109	;0.785713	;0.416692	;263.902
110	;0.785713	;0.416692	;263.902
111	;0.785713	;0.416692	;263.902
112	;0.785713	;0.416692	;263.902
113	;0.785713	;0.416692	;263.902
114	;0.785713	;0.416692	;263.902
115	;0.785713	;0.416692	;263.902
116	;0.785713	;0.416692	;263.902
117	;0.785713	;0.416692	;263.902
118	;0.785713	;0.416692	;263.902
119	;0.785713	;0.416692	;263.902
120	;0.785713	;0.416692	;263.902
121	;0.785713	;0.416692	;263.902
122	;0.785713	;0.416692	;263.902
123	;0.785713	;0.416692	;263.902
124	;0.785713	;0.416692	;263.902
125	;0.785713	;0.416692	;263.902
126	;0.785713	;0.416692	;263.902
127	;0.785713	;0.416692	;263.902
128	;0.785713	;0.416692	;263.902
129	;0.785713	;0.416692	;263.902
130	;0.785713	;0.416692	;263.902
131	;0.785713	;0.416692	;263.902
132	;0.785713	;0.416692	;263.902
133	;0.785713	;0.416692	;263.902
134	;0.785713	;0.416692	;263.902
135	;0.785713	;0.416692	;263.902
136	;0.785713	;0.416692	;263.902
137	;0.785713	;0.416692	;263.902
138	;0.785713	;0.416692	;263.902
139	;0.785713	;0.416692	;263.902
140	;0.785713	;0.416692	;263.902
141	;0.785713	;0.416692	;263.902
142	;0.785713	;0.416692	;263.902
143	;0.785713	;0.416692	;263.902
144	;0.785713	;0.416692	;263.902
145	;0.785713	;0.416692	;263.902
146	;0.785713	;0.416692	;263.902
147	;0.785713	;0.416692	;263.902
148	;0.785713	;0.416692	;263.902
149	;0.785713	;0.416692	;263.902
150	;0.785713	;0.416692	;263.902

1	;0.792562	;0.405053	;264.676
2	;0.804921	;0.36976	;264.642
3	;0.804921	;0.36976	;264.642
4	;0.804921	;0.36976	;264.642
5	;0.800034	;0.377393	;264.023
6	;0.800034	;0.377393	;264.023
7	;0.800034	;0.377393	;264.023
8	;0.799464	;0.378622	;263.985
9	;0.799464	;0.378622	;263.985
10	;0.799464	;0.378622	;263.985
11	;0.799464	;0.378622	;263.985
12	;0.799464	;0.378622	;263.985
13	;0.799464	;0.378622	;263.985
14	;0.799464	;0.378622	;263.985
15	;0.799464	;0.378622	;263.985
16	;0.799464	;0.378622	;263.985
17	;0.799464	;0.378622	;263.985
18	;0.799464	;0.378622	;263.985
19	;0.799464	;0.378622	;263.985
20	;0.799464	;0.378622	;263.985
21	;0.799464	;0.378622	;263.985
22	;0.799464	;0.378622	;263.985
23	;0.799464	;0.378622	;263.985
24	;0.799464	;0.378622	;263.985
25	;0.799464	;0.378622	;263.985
26	;0.799464	;0.378622	;263.985
27	;0.799464	;0.378622	;263.985
28	;0.799464	;0.378622	;263.985
29	;0.799464	;0.378622	;263.985
30	;0.799464	;0.378622	;263.985
31	;0.799464	;0.378622	;263.985
32	;0.799464	;0.378622	;263.985
33	;0.799464	;0.378622	;263.985
34	;0.799464	;0.378622	;263.985
35	;0.799464	;0.378622	;263.985
36	;0.799464	;0.378622	;263.985
37	;0.799464	;0.378622	;263.985
38	;0.799464	;0.378622	;263.985
39	;0.799464	;0.378622	;263.985
40	;0.799464	;0.378622	;263.985
41	;0.799464	;0.378622	;263.985
42	;0.796244	;0.387471	;263.959
43	;0.796244	;0.387471	;263.959
44	;0.796244	;0.387471	;263.959
45	;0.796244	;0.387471	;263.959
46	;0.79459	;0.392119	;263.956
47	;0.79459	;0.392119	;263.956
48	;0.79459	;0.392119	;263.956
