104	;0.999926	;7.41202e-05	;0.312537
105	;0.999926	;7.41158e-05	;0.312537
106	;0.999926	;7.41133e-05	;0.312537
107	;0.999926	;7.41134e-05	;0.312537
108	;0.999926	;7.41134e-05	;0.312537
109	;0.999926	;7.41128e-05	;0.312537
110	;0.999926	;7.41128e-05	;0.312537
111	;0.999926	;7.41129e-05	;0.312537
112	;0.999926	;7.41129e-05	;0.312537
113	;0.999926	;7.41129e-05	;0.312537
114	;0.999926	;7.41128e-05	;0.312537
115	;0.999926	;7.41021e-05	;0.312537
116	;0.999926	;7.41031e-05	;0.312537
117	;0.999926	;7.40941e-05	;0.312537
118	;0.999926	;7.40847e-05	;0.312537
119	;0.999926	;7.40771e-05	;0.312537
120	;0.999926	;7.40799e-05	;0.312537
121	;0.999954	;2.75252e-05	;0.312532
122	;0.999967	;2.20608e-05	;0.312522
123	;0.99998	;1.22534e-05	;0.312514
124	;0.99999	;7.68697e-06	;0.312506
125	;0.999993	;6.53255e-06	;0.312504
126	;0.999993	;6.53255e-06	;0.312504
127	;0.999999	;-1.06954e-06	;0.312502
128	;0.999999	;8.59642e-07	;0.312501
129	;0.999999	;9.85328e-07	;0.312501
130	;0.999999	;1.08893e-06	;0.312501
131	;0.999999	;9.96965e-07	;0.312501
132	;0.999999	;1.01442e-06	;0.312501
133	;0.999999	;1.02035e-06	;0.312501
134	;0.999999	;9.6352e-07	;0.3125
135	;0.999999	;6.26423e-07	;0.3125
136	;0.999999	;3.75101e-07	;0.3125
137	;1	;3.34442e-07	;0.3125
138	;1	;3.34656e-07	;0.3125
139	;1	;3.0813e-07	;0.3125
140	;1	;2.97209e-07	;0.3125
141	;1	;2.81472e-07	;0.3125
142	;1	;1.29814e-07	;0.3125
143	;1	;1.28144e-07	;0.3125
144	;1	;1.27934e-07	;0.3125
145	;1	;1.08531e-07	;0.3125
146	;1	;1.00389e-07	;0.3125
147	;1	;6.24509e-08	;0.3125
148	;1	;3.52631e-08	;0.3125
149	;1	;2.83216e-09	;0.3125
150	;1	;2.83216e-09	;0.3125

1	;0.503076	;0.328806	;0.994716
2	;0.602353	;0.295325	;0.807526
3	;0.72366	;0.0459801	;0.645194
4	;0.871032	;0.11754	;0.416998
5	;0.905648	;0.0853457	;0.382818
6	;0.944435	;0.0250529	;0.359537
7	;0.957524	;0.0223826	;0.346318
8	;0.985849	;-0.00723251	;0.330547
9	;0.989389	;0.00876478	;0.318955
10	;0.989389	;0.00876478	;0.318955
11	;0.992642	;0.00728387	;0.316349
12	;0.992642	;0.00728387	;0.316349
13	;0.992642	;0.00728387	;0.316349
14	;0.992703	;0.00723281	;0.316311
15	;0.992703	;0.00723281	;0.316311
16	;0.992703	;0.00723281	;0.316311
17	;0.992703	;0.00723281	;0.316311
18	;0.994644	;0.00501409	;0.315415
19	;0.998948	;0.000248549	;0.313429
20	;0.998948	;0.000248549	;0.313429
